Maggie,Renata,E70263,France
John,Cleary,E22286,Ireland
Paul,Smith,E18497,France
Jolie,Dubois,E20608,Belgium
Amanda,Edelman,E15324,Croatia
Ruby,Moore,E23462,Austria
Kim,Thai,E22718,Ireland
Adam,Kelly,E31868,Ireland
Moira,Kelly,E12538,Ireland
Asco,Emeka,E27926,Ireland
Jessica,Rita,E30263,Spain
Karl,Smith,E14618,Germany
Niko,Dimitov,E26055,Poland
Lena,Davshki,E25499,Poland
Patricia,Vitali,E18354,Italy
Nikita,Clark,E31404,Luxembourg
Lin,Lu,E59540,German
Eric,Davis,E31404,Sweden
Sergio,Elix,E21404,Portugal
Paterne,Monte,E14136,Spain
